iter	Passed	Remaining
376	1391	2299
377	1393	2292
378	1395	2287
379	1397	2280
380	1400	2275
381	1402	2269
382	1404	2263
383	1407	2257
384	1408	2250
385	1411	2245
386	1413	2239
387	1415	2233
388	1418	2228
389	1420	2221
390	1422	2215
391	1424	2208
392	1427	2204
393	1431	2201
394	1433	2196
395	1435	2190
396	1437	2183
397	1439	2177
398	1441	2172
399	1444	2166
400	1447	2162
401	1450	2157
402	1452	2151
403	1455	2147
404	1458	2142
405	1462	2139
406	1465	2134
407	1467	2129
408	1470	2125
409	1473	2120
410	1476	2115
411	1478	2109
412	1480	2103
413	1481	2097
414	1483	2091
415	1485	2085
416	1487	2079
417	1490	2075
418	1492	2069
419	1494	2064
420	1497	2058
421	1498	2052
422	1500	2047
423	1503	2041
424	1506	2037
425	1508	2032
426	1509	2026
427	1511	2020
